t,ua,ub,uc,omega_mech,theta_mech,theta_e,ia,ib,ic,id,iq,T_em
0.108,0,0,0.15,-1.90754,-0.19242,-0.384459,-2.9973,2.49238,0.504915,-3.20886,-0.0604586,-0.00235788
0.109,0,0,0.15,-1.90834,-0.194328,-0.388275,-2.92448,2.44258,0.481897,-3.13536,-0.0594451,-0.00231836
0.11,0,0,0.15,-1.90909,-0.196237,-0.392092,-2.85181,2.39223,0.459585,-3.06177,-0.0586086,-0.00228574
0.111,0,0,0.15,-1.90981,-0.198147,-0.395911,-2.7793,2.34132,0.437981,-2.98809,-0.057946,-0.00225989
0.112,0,0,0.15,-1.91049,-0.200057,-0.399731,-2.70694,2.28987,0.417071,-2.91434,-0.0574422,-0.00224024
0.113,0,0,0.15,-1.91116,-0.201968,-0.403553,-2.63474,2.2379,0.396834,-2.8405,-0.0570728,-0.00222584
0.114,0,0,0.15,-1.9118,-0.203879,-0.407376,-2.56268,2.18544,0.377241,-2.76658,-0.0568074,-0.00221549
0.115,0,0,0.15,-1.91244,-0.205791,-0.4112,-2.49077,2.13251,0.358262,-2.69259,-0.0566122,-0.00220788
0.116,0,0,0.15,-1.91306,-0.207704,-0.415025,-2.41899,2.07913,0.339865,-2.61853,-0.0564533,-0.00220168
0.117,0,0,0.15,-1.91368,-0.209617,-0.418852,-2.34734,2.02532,0.32202,-2.54439,-0.0562987,-0.00219565
0.118,0,0,0.15,-1.91429,-0.211531,-0.42268,-2.27582,1.97112,0.3047,-2.47019,-0.0561204,-0.0021887
0.119,0,0,0.15,-1.91489,-0.213446,-0.426509,-2.2044,1.91652,0.287886,-2.39592,-0.055896,-0.00217994
0.12,0,0,0.15,-1.91547,-0.215361,-0.430339,-2.13311,1.86155,0.271563,-2.32158,-0.0556093,-0.00216876
0.121,0,0,0.15,-1.91604,-0.217277,-0.434171,-2.06193,1.80621,0.255723,-2.24719,-0.0552507,-0.00215478
0.122,0,0,0.15,-1.91658,-0.219193,-0.438003,-1.99087,1.75051,0.240365,-2.17273,-0.0548168,-0.00213786
0.123,0,0,0.15,-1.9171,-0.22111,-0.441837,-1.91994,1.69445,0.225491,-2.09822,-0.0543101,-0.00211809
0.124,0,0,0.15,-1.91759,-0.223028,-0.445672,-1.84914,1.63803,0.211112,-2.02365,-0.0537376,-0.00209577
0.125,0,0,0.15,-1.91806,-0.224945,-0.449507,-1.77849,1.58125,0.197238,-1.94902,-0.0531101,-0.00207129
0.126,0,0,0.15,-1.91848,-0.226864,-0.453344,-1.70798,1.5241,0.183885,-1.87435,-0.0524404,-0.00204518
0.127,0,0,0.15,-1.91888,-0.228782,-0.457181,-1.63764,1.46658,0.171067,-1.79962,-0.0517427,-0.00201797
0.128,0,0,0.15,-1.91923,-0.230702,-0.461019,-1.56748,1.40868,0.158801,-1.72485,-0.0510311,-0.00199021
0.129,0,0,0.15,-1.91955,-0.232621,-0.464858,-1.4975,1.3504,0.1471,-1.65004,-0.0503184,-0.00196242
0.13,0,0,0.15,-1.91984,-0.234541,-0.468697,-1.42772,1.29174,0.135977,-1.57518,-0.049616,-0.00193502
0.131,0,0,0.15,-1.92009,-0.236461,-0.472537,-1.35814,1.2327,0.125442,-1.50027,-0.0489326,-0.00190837
0.132,0,0,0.15,-1.9203,-0.238381,-0.476378,-1.28878,1.17328,0.115501,-1.42533,-0.0482745,-0.0018827
0.133,0,0,0.15,-1.92049,-0.240301,-0.480218,-1.21963,1.11347,0.106161,-1.35036,-0.0476451,-0.00185816
0.134,0,0,0.15,-1.92064,-0.242222,-0.48406,-1.15072,1.0533,0.0974218,-1.27535,-0.0470455,-0.00183478
0.135,0,0,0.15,-1.92076,-0.244143,-0.487901,-1.08204,0.992752,0.0892838,-1.2003,-0.0464743,-0.0018125
0.136,0,0,0.15,-1.92085,-0.246063,-0.491743,-1.01359,0.931844,0.0817444,-1.12523,-0.0459283,-0.0017912
0.137,0,0,0.15,-1.92092,-0.247984,-0.495584,-0.945379,0.870579,0.0747999,-1.05013,-0.0454028,-0.00177071
0.138,0,0,0.15,-1.92096,-0.249905,-0.499426,-0.877412,0.808966,0.0684454,-0.975,-0.0448926,-0.00175081
0.139,0,0,0.15,-1.92097,-0.251826,-0.503268,-0.809688,0.747012,0.0626757,-0.89985,-0.0443916,-0.00173127
0.14,0,0,0.15,-1.92096,-0.253747,-0.50711,-0.742211,0.684725,0.0574856,-0.824678,-0.0438944,-0.00171188
0.141,0,0,0.15,-1.92093,-0.255668,-0.510952,-0.674983,0.622113,0.0528705,-0.749487,-0.0433956,-0.00169243
0.142,0,0,0.15,-1.92086,-0.257589,-0.514794,-0.608007,0.559181,0.0488262,-0.67428,-0.0428909,-0.00167275
0.143,0,0,0.15,-1.92078,-0.25951,-0.518635,-0.541286,0.495936,0.0453497,-0.599058,-0.042377,-0.0016527
